FL_DATE,AIRLINE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,ORIGIN_CITY_MAXTEMP_C,ORIGIN_CITY_MINTEMP_C,ORIGIN_CITY_AVGTEMP_C,ORIGIN_CITY_MAXWIND_KPH,ORIGIN_CITY_TOTALPRECIP_MM,ORIGIN_CITY_AVGVIS_KM,ORIGIN_CITY_AVGHUMIDITY,ORIGIN_CITY_TEXT,ORIGIN_CITY_DAILY_CHANCE_OF_RAIN,ORIGIN_CITY_DAILY_CHANCE_OF_SNOW,DEST_CITY_MAXTEMP_C,DEST_CITY_MINTEMP_C,DEST_CITY_AVGTEMP_C,DEST_CITY_MAXWIND_KPH,DEST_CITY_TOTALPRECIP_MM,DEST_CITY_AVGVIS_KM,DEST_CITY_AVGHUMIDITY,DEST_CITY_TEXT,DEST_CITY_DAILY_CHANCE_OF_RAIN,DEST_CITY_DAILY_CHANCE_OF_SNOW
2023-06-11,American Airlines Inc.,19805,2134,DCA,"Washington, DC",BOS,"Boston, MA",1010,1159,0.0,109.0,399.0,32.8,16.4,24.3,21.2,0.0,10.0,53,Overcast,0,0,24.6,12.7,18.1,13.3,0.0,9.5,76,Overcast,0,0
2023-07-23,United Air Lines Inc.,19977,1182,AUS,"Austin, TX",IAH,"Houston, TX",520,617,0.0,57.0,140.0,40.2,27.8,33.6,17.1,0.3,10.0,38,Sunny,100,0,37.7,28.0,31.8,19.5,3.9,9.7,53,Moderate rain at times,100,0
2023-07-03,JetBlue Airways,20409,431,BOS,"Boston, MA",LGA,"New York, NY",1400,1521,0.0,81.0,184.0,25.3,20.3,22.6,14.0,23.7,7.5,89,Heavy rain at times,100,0,31.6,21.6,25.8,14.2,13.9,9.4,75,Moderate or heavy rain shower,100,0
2023-06-22,Southwest Airlines Co.,19393,1359,BNA,"Nashville, TN",MCO,"Orlando, FL",510,800,0.0,110.0,616.0,22.2,17.0,19.2,13.0,4.9,9.0,80,Moderate rain at times,100,0,33.5,21.6,26.6,20.4,19.9,9.6,65,Moderate or heavy rain shower,100,0
2023-08-05,JetBlue Airways,20409,895,EWR,"Newark, NJ",MCO,"Orlando, FL",1052,1350,0.0,178.0,937.0,30.0,18.9,24.6,12.2,0.0,10.0,58,Cloudy,0,0,33.7,25.6,29.1,12.2,24.1,10.0,68,Moderate or heavy rain shower,100,0
2023-05-19,Delta Air Lines Inc.,19790,976,DEN,"Denver, CO",ATL,"Atlanta, GA",59,551,0.0,172.0,1199.0,15.3,10.4,12.4,13.0,9.0,8.5,74,Heavy rain at times,100,0,23.4,14.6,18.0,17.6,0.1,10.0,75,Patchy rain possible,100,0
2023-06-19,United Air Lines Inc.,19977,323,EWR,"Newark, NJ",ORD,"Chicago, IL",1304,1438,0.0,154.0,719.0,27.1,16.6,21.2,17.3,0.5,10.0,60,Patchy rain possible,100,0,24.0,18.3,20.7,14.8,0.0,10.0,67,Partly cloudy,0,0
2023-06-28,American Airlines Inc.,19805,2830,SFO,"San Francisco, CA",CLT,"Charlotte, NC",1320,2124,0.0,304.0,2296.0,19.4,11.6,14.6,19.8,0.0,10.0,83,Overcast,0,0,30.9,18.0,24.8,10.1,0.0,10.0,61,Sunny,0,0
2023-07-02,SkyWest Airlines Inc.,20304,3950,JFK,"New York, NY",IAD,"Washington, DC",1455,1627,0.0,92.0,228.0,28.1,19.9,23.5,18.0,16.8,9.9,83,Moderate or heavy rain shower,100,0,31.8,20.4,25.7,11.2,0.3,7.3,84,Patchy rain possible,100,0
2023-08-17,United Air Lines Inc.,19977,573,SFO,"San Francisco, CA",SEA,"Seattle, WA",1035,1254,0.0,139.0,679.0,22.3,13.8,17.4,20.2,0.0,10.0,84,Overcast,0,0,33.1,17.4,24.6,12.6,0.0,10.0,58,Partly cloudy,0,0
2023-07-19,Endeavor Air Inc.,20363,5025,STL,"St. Louis, MO",LGA,"New York, NY",1534,1906,0.0,152.0,888.0,36.2,24.9,29.8,17.3,1.4,9.8,57,Overcast,100,0,26.6,21.0,23.8,14.8,7.7,9.9,68,Moderate or heavy rain shower,100,0
2023-05-11,Spirit Air Lines,20416,1810,FLL,"Fort Lauderdale, FL",PHL,"Philadelphia, PA",1830,2117,0.0,167.0,992.0,31.2,25.7,27.6,23.4,0.0,10.0,68,Partly cloudy,0,0,27.0,11.1,19.1,14.0,0.0,10.0,52,Partly cloudy,0,0
2023-07-03,Spirit Air Lines,20416,356,MCO,"Orlando, FL",IAH,"Houston, TX",1702,1830,0.0,148.0,854.0,36.4,25.2,29.8,14.4,9.65,9.8,67,Moderate rain at times,100,0,36.1,26.5,30.7,20.9,0.9,10.0,60,Patchy rain possible,100,0
2023-05-25,SkyWest Airlines Inc.,20304,4748,GRB,"Green Bay, WI",ORD,"Chicago, IL",600,712,0.0,72.0,173.0,18.2,5.4,11.1,16.6,0.0,10.0,60,Sunny,0,0,14.3,8.6,11.4,24.8,0.0,10.0,53,Sunny,0,0
2023-06-19,Southwest Airlines Co.,19393,3557,LAX,"Los Angeles, CA",BNA,"Nashville, TN",635,1235,0.0,240.0,1797.0,24.8,16.4,19.6,18.4,0.0,10.0,61,Cloudy,0,0,27.2,18.6,22.4,12.6,26.4,8.7,85,Moderate or heavy rain shower,100,0
2023-06-27,Republic Airline,20452,4543,RDU,"Raleigh/Durham, NC",BNA,"Nashville, TN",1524,1603,0.0,99.0,442.0,24.8,20.9,22.1,5.8,13.65,5.8,96,Patchy rain possible,100,0,31.9,17.8,25.0,19.4,0.0,10.0,58,Sunny,0,0
2023-05-19,United Air Lines Inc.,19977,624,SNA,"Santa Ana, CA",DEN,"Denver, CO",1619,1940,0.0,141.0,846.0,24.3,14.8,18.9,16.6,0.0,10.0,67,Sunny,0,0,15.3,10.4,12.4,13.0,9.0,8.5,74,Heavy rain at times,100,0
2023-06-27,American Airlines Inc.,19805,2389,SFO,"San Francisco, CA",MIA,"Miami, FL",2354,833,0.0,339.0,2585.0,18.8,11.5,14.5,20.2,0.0,9.7,84,Overcast,0,0,31.0,27.2,29.1,19.8,5.1,9.8,73,Moderate or heavy rain shower,100,0
2023-07-04,Delta Air Lines Inc.,19790,1238,SAT,"San Antonio, TX",SLC,"Salt Lake City, UT",810,1005,0.0,175.0,1087.0,36.2,25.1,30.2,24.1,1.4,9.1,59,Patchy rain possible,100,0,30.5,15.9,24.7,17.3,0.2,10.0,38,Patchy rain possible,100,0
2023-08-26,Southwest Airlines Co.,19393,2827,FLL,"Fort Lauderdale, FL",STL,"St. Louis, MO",1550,1740,0.0,170.0,1057.0,32.1,26.2,29.2,26.6,0.0,10.0,67,Partly cloudy,0,0,34.9,27.1,30.2,23.4,0.0,10.0,68,Partly cloudy,0,0
2023-08-13,Spirit Air Lines,20416,273,DFW,"Dallas/Fort Worth, TX",EWR,"Newark, NJ",830,1303,0.0,213.0,1372.0,42.5,28.0,35.6,27.0,0.0,10.0,32,Sunny,0,0,31.3,22.0,26.0,18.0,4.35,9.7,65,Patchy rain possible,100,0
2023-05-25,Spirit Air Lines,20416,1777,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",2050,2351,0.0,181.0,1065.0,29.6,23.0,25.7,22.0,20.45,9.7,67,Moderate or heavy rain shower,100,0,20.5,8.6,14.9,25.6,0.0,10.0,41,Sunny,0,0
2023-06-21,Alaska Airlines Inc.,19930,108,ANC,"Anchorage, AK",SEA,"Seattle, WA",250,715,0.0,205.0,1448.0,15.1,10.0,12.4,9.0,8.45,5.1,94,Heavy rain at times,100,0,21.2,7.8,14.8,14.4,0.0,8.3,67,Partly cloudy,0,0
2023-05-18,Delta Air Lines Inc.,19790,862,FLL,"Fort Lauderdale, FL",BOS,"Boston, MA",1034,1353,0.0,199.0,1237.0,31.5,23.6,27.7,22.0,1.8,9.9,62,Patchy rain possible,100,0,18.2,4.7,11.8,22.7,0.0,10.0,34,Sunny,0,0
2023-07-04,Alaska Airlines Inc.,19930,707,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",1945,2102,0.0,77.0,236.0,40.3,24.7,33.5,24.9,0.0,10.0,9,Sunny,0,0,27.8,15.8,21.4,17.6,0.0,10.0,50,Partly cloudy,0,0
